Vector Obtenido
V[1] = -0.651540
V[2] = -0.227699
V[3] = -0.592334
V[4] = -0.329386
V[5] = 0.705435
V[6] = -0.862911
V[7] = -0.786798
V[8] = -0.067049
V[9] = 0.744682
V[10] = 0.950743
V[11] = 0.747917
V[12] = 0.094028
V[13] = 0.892270
V[14] = -0.161718
V[15] = 0.426069
V[16] = -0.959593
V[17] = -0.901425
V[18] = -0.882565
V[19] = -0.211768
V[20] = 0.671133
V[21] = -0.894467
V[22] = 0.247536
V[23] = -0.597278
V[24] = -0.557604
V[25] = 0.060518
V[26] = -0.763848
V[27] = -0.103977
V[28] = 0.526658
V[29] = 0.291482
V[30] = 0.565294
V[31] = 0.424787
V[32] = -0.353923
V[33] = 0.054109
V[34] = 0.199194
V[35] = -0.098300
V[36] = 0.645863
V[37] = -0.935606
V[38] = 0.237220
V[39] = -0.712455
V[40] = -0.133213
V[41] = -0.371380
V[42] = 0.773309
V[43] = 0.262795
V[44] = -0.617542
V[45] = -0.816340
V[46] = -0.475021
V[47] = 0.589526
V[48] = 0.161046
V[49] = -0.940001
V[50] = 0.794794
V[51] = -0.521714
V[52] = -0.783624
V[53] = -0.720267
V[54] = 0.325907
V[55] = -0.729057
V[56] = -0.190832
V[57] = 0.202429
V[58] = -0.385113
V[59] = 0.752312
V[60] = 0.761711
V[61] = 0.831050
V[62] = 0.243873
V[63] = 0.403424
V[64] = -0.051790
V[65] = 0.590197
V[66] = -0.204993
V[67] = 0.908505
V[68] = 0.024018
V[69] = 0.390423
V[70] = -0.090854
V[71] = -0.771416
V[72] = -0.545335
V[73] = -0.211035
V[74] = 0.052034
V[75] = -0.446150
V[76] = 0.908994
V[77] = 0.061800
V[78] = -0.450850
V[79] = -0.552660
V[80] = 0.077425
V[81] = -0.002472
V[82] = -0.546251
V[83] = 0.492904
V[84] = 0.979369
V[85] = 0.226783
V[86] = 0.808405
V[87] = -0.241066
V[88] = 0.820429
V[89] = 0.899350
V[90] = 0.864071
V[91] = -0.608203
V[92] = 0.463485
V[93] = 0.520981
V[94] = -0.181127
V[95] = 0.649953
V[96] = -0.424421
V[97] = 0.763848
V[98] = -0.361675
V[99] = -0.307718
V[100] = 0.512680

Vector Ordenado
V[1] = -0.959593
V[2] = -0.940001
V[3] = -0.935606
V[4] = -0.901425
V[5] = -0.894467
V[6] = -0.882565
V[7] = -0.862911
V[8] = -0.816340
V[9] = -0.786798
V[10] = -0.783624
V[11] = -0.771416
V[12] = -0.763848
V[13] = -0.729057
V[14] = -0.720267
V[15] = -0.712455
V[16] = -0.651540
V[17] = -0.617542
V[18] = -0.608203
V[19] = -0.597278
V[20] = -0.592334
V[21] = -0.557604
V[22] = -0.552660
V[23] = -0.546251
V[24] = -0.545335
V[25] = -0.521714
V[26] = -0.475021
V[27] = -0.450850
V[28] = -0.446150
V[29] = -0.424421
V[30] = -0.385113
V[31] = -0.371380
V[32] = -0.361675
V[33] = -0.353923
V[34] = -0.329386
V[35] = -0.307718
V[36] = -0.241066
V[37] = -0.227699
V[38] = -0.211768
V[39] = -0.211035
V[40] = -0.204993
V[41] = -0.190832
V[42] = -0.181127
V[43] = -0.161718
V[44] = -0.133213
V[45] = -0.103977
V[46] = -0.098300
V[47] = -0.090854
V[48] = -0.067049
V[49] = -0.051790
V[50] = -0.002472
V[51] = 0.024018
V[52] = 0.052034
V[53] = 0.054109
V[54] = 0.060518
V[55] = 0.061800
V[56] = 0.077425
V[57] = 0.094028
V[58] = 0.161046
V[59] = 0.199194
V[60] = 0.202429
V[61] = 0.226783
V[62] = 0.237220
V[63] = 0.243873
V[64] = 0.247536
V[65] = 0.262795
V[66] = 0.291482
V[67] = 0.325907
V[68] = 0.390423
V[69] = 0.403424
V[70] = 0.424787
V[71] = 0.426069
V[72] = 0.463485
V[73] = 0.492904
V[74] = 0.512680
V[75] = 0.520981
V[76] = 0.526658
V[77] = 0.565294
V[78] = 0.589526
V[79] = 0.590197
V[80] = 0.645863
V[81] = 0.649953
V[82] = 0.671133
V[83] = 0.705435
V[84] = 0.744682
V[85] = 0.747917
V[86] = 0.752312
V[87] = 0.761711
V[88] = 0.763848
V[89] = 0.773309
V[90] = 0.794794
V[91] = 0.808405
V[92] = 0.820429
V[93] = 0.831050
V[94] = 0.864071
V[95] = 0.892270
V[96] = 0.899350
V[97] = 0.908505
V[98] = 0.908994
V[99] = 0.950743
V[100] = 0.979369

El Valor Maximo es: 0.979369
El Valor Minimo es: -0.959593
La Media Aritmetica es: 0.012684
La Varianza es: 0.330778
La Desviacion Estandar es: 0.575133
El Coeficiente de Variacion es: 45.343037
El Momento estandar es: 0.022054
La Media Geometrica es: 1.000000
La Mediana es: 0.010773

Cuartiles
Cuartil 1 = 0.525239
Cuartil 2 = 0.010773
Cuartil 3 = -0.510041

Deciles
Decil 1 = 0.807044
Decil 2 = 0.649135
Decil 3 = 0.425684
Decil 4 = 0.217042
Decil 5 = 0.010773
Decil 6 = -0.199329
Decil 7 = -0.380993
Decil 8 = -0.585388
Decil 9 = -0.782403

Percentiles
Percentil 1 = 0.97908
